participant_id,condition,pointer_type,mouse_start_x_position,mouse_start_y_position,mouse_clicked_x_position,mouse_clicked_y_position,distance_to_start_position,circle_count,circle_size,is_circle_clicked,is_target,task_completion_time_in_ms,timestamp
3,6,normal,11,571,2668,792,2666.1751630378676,75,50,True,True,1029.582,2021-05-12 15:21:29.029525
3,6,normal,16,582,2523,530,2507.5392319961816,75,50,True,True,913.5600000000001,2021-05-12 15:21:30.693450
3,6,normal,27,572,2806,586,2779.0352642598837,75,50,True,True,947.188,2021-05-12 15:21:32.516938
3,6,normal,25,577,2784,495,2760.218288469229,75,50,True,True,1043.5049999999999,2021-05-12 15:21:34.517490
3,6,normal,26,585,2587,319,2574.777077729255,75,50,True,True,943.471,2021-05-12 15:21:36.308800
3,1,normal,12,565,172,526,164.68454693747074,20,100,False,False,NaN,2021-05-12 15:21:38.189456
3,1,normal,12,565,2710,814,2709.465814510307,20,100,True,True,1126.996,2021-05-12 15:21:38.629562
3,1,normal,27,568,2545,553,2518.044677919754,20,100,True,True,899.4029999999999,2021-05-12 15:21:40.589481
3,1,normal,30,575,2813,506,2783.855240489347,20,100,True,True,902.8080000000001,2021-05-12 15:21:42.653457
3,1,normal,21,588,2601,343,2591.606644535393,20,100,True,True,1243.618,2021-05-12 15:21:44.733542
3,1,normal,14,568,2804,622,2790.522531713371,20,100,True,True,738.851,2021-05-12 15:21:46.397641
3,5,normal,46,566,2595,361,2557.230142165543,20,100,True,True,916.923,2021-05-12 15:21:48.510124
3,5,normal,30,581,2795,530,2765.4703035830994,20,100,True,True,693.748,2021-05-12 15:21:50.173710
3,5,normal,22,575,2847,595,2825.070795573095,20,100,True,True,1031.449,2021-05-12 15:21:52.173517
3,5,normal,24,582,2708,839,2696.276135710139,20,100,True,True,759.053,2021-05-12 15:21:53.997568
3,5,normal,14,588,2554,554,2540.2275488625028,20,100,True,True,1457.9299999999998,2021-05-12 15:21:56.141668
3,2,normal,28,560,2659,778,2640.0160984357653,75,50,True,True,689.707,2021-05-12 15:21:57.717639
3,2,normal,27,573,2535,512,2508.7417164786016,75,50,True,True,942.696,2021-05-12 15:21:59.437709
3,2,normal,20,573,2571,320,2563.5151647688763,75,50,True,True,1190.4920000000002,2021-05-12 15:22:01.621648
3,2,normal,29,564,2800,502,2771.6935256265256,75,50,True,True,792.47,2021-05-12 15:22:03.533665
3,2,normal,18,573,2806,569,2788.002869438983,75,50,True,True,1125.8570000000002,2021-05-12 15:22:05.596876
3,4,normal,18,581,28,202,379.1319031682773,75,50,False,False,NaN,2021-05-12 15:22:07.829601
3,4,normal,18,581,2527,516,2509.841827685562,75,50,True,True,1531.825,2021-05-12 15:22:08.181717
3,4,normal,12,564,2653,771,2649.0998471178846,75,50,True,True,1184.933,2021-05-12 15:22:10.301672
3,4,normal,27,567,2571,318,2556.156685338362,75,50,True,True,1089.905,2021-05-12 15:22:12.540971
3,4,normal,24,579,2814,582,2790.0016129027595,75,50,True,True,1157.811,2021-05-12 15:22:15.021711
3,4,normal,27,577,2784,492,2758.30998983073,75,50,True,True,983.757,2021-05-12 15:22:16.877791
3,3,normal,26,570,2658,838,2645.6091926057406,20,100,True,True,672.363,2021-05-12 15:22:18.389898
3,3,normal,34,565,2610,359,2584.2236745297414,20,100,True,True,1114.676,2021-05-12 15:22:20.406875
3,3,normal,27,576,2823,596,2796.071529843255,20,100,True,True,778.1909999999999,2021-05-12 15:22:22.821720
3,3,normal,19,576,2557,522,2538.574403085322,20,100,True,True,569.076,2021-05-12 15:22:24.237023
3,3,normal,23,583,2837,510,2814.946713527629,20,100,True,True,683.944,2021-05-12 15:22:25.805451
