participant_id,condition,pointer_type,mouse_start_x_position,mouse_start_y_position,mouse_clicked_x_position,mouse_clicked_y_position,distance_to_start_position,circle_count,circle_size,is_circle_clicked,is_target,task_completion_time_in_ms,timestamp
1,1,noval,560,837,786,797,229.51252689123527,20,100,True,True,820.7389999999999,2021-05-10 14:19:23.873481
1,1,noval,561,867,893,470,517.5258447652639,20,100,True,True,604.9250000000002,2021-05-10 14:19:24.708862
1,1,noval,561,867,662,522,359.4801802603309,20,100,True,True,486.43,2021-05-10 14:19:25.470922
1,1,noval,561,867,952,604,471.22181613333646,20,100,True,True,645.4929999999998,2021-05-10 14:19:26.358178
1,1,noval,561,867,707,302,583.5589087658589,20,100,True,True,409.3490000000001,2021-05-10 14:19:27.017973
1,2,noval,561,867,903,470,523.997137396761,75,50,True,True,770.143,2021-05-10 14:19:27.986615
1,2,noval,561,867,892,549,459.0043572777932,75,50,True,True,1000.36,2021-05-10 14:19:29.069444
1,2,noval,561,867,752,773,212.8778992756176,75,50,True,True,843.828,2021-05-10 14:19:30.233104
1,2,noval,561,867,625,505,367.61392791895133,75,50,True,True,967.713,2021-05-10 14:19:31.274002
1,2,noval,561,867,665,300,576.4590184913409,75,50,True,True,1010.665,2021-05-10 14:19:32.361284
1,3,noval,561,867,954,596,477.3782567314938,20,100,True,True,698.513,2021-05-10 14:19:33.276525
1,3,noval,561,867,896,506,492.48959379869143,20,100,True,True,326.735,2021-05-10 14:19:33.770815
1,3,noval,561,867,665,507,374.7212297161718,20,100,True,True,473.555,2021-05-10 14:19:34.460046
1,3,noval,561,867,764,760,229.4733099948663,20,100,True,True,743.2869999999999,2021-05-10 14:19:35.349380
1,3,noval,561,867,713,347,541.7600945067844,20,100,True,True,638.476,2021-05-10 14:19:36.157575
1,4,noval,561,867,668,293,583.8878316937253,75,50,True,True,979.798,2021-05-10 14:19:37.241714
1,4,noval,561,867,770,756,236.64741705752888,75,50,True,True,1345.098,2021-05-10 14:19:38.656094
1,4,noval,561,867,622,490,381.9031290785662,75,50,True,True,1345.198,2021-05-10 14:19:40.053553
1,4,noval,561,867,885,564,443.6045536285669,75,50,True,True,763.5219999999999,2021-05-10 14:19:41.016774
1,4,noval,561,867,889,479,508.0629882209488,75,50,True,True,813.1389999999999,2021-05-10 14:19:42.118884
